chebi_id	wikidata_id
CHEBI:3024	Q27105928
CHEBI:3032	Q2070778
CHEBI:3038	Q27105929
CHEBI:3040	Q27105930
CHEBI:3044	Q3322838
CHEBI:3047	Q2889971
CHEBI:3049	Q27105931
CHEBI:3056	Q27105932
CHEBI:3057	Q4083784
CHEBI:3058	Q27105933
CHEBI:3060	Q27105934
CHEBI:3061	Q4890934
CHEBI:3063	Q4891024
CHEBI:3065	Q27105935
CHEBI:3070	Q27075116
CHEBI:3077	Q416132
CHEBI:3078	Q27105936
CHEBI:3079	Q27105937
CHEBI:3080	Q420138
CHEBI:3081	Q27105938
CHEBI:3082	Q794162
CHEBI:3084	Q419059
CHEBI:3085	Q27105939
CHEBI:3086	Q419726
CHEBI:3087	Q384111
CHEBI:3088	Q855280
CHEBI:3089	Q4902548
CHEBI:3090	Q1988832
CHEBI:3092	Q3639734
CHEBI:3093	Q415150
CHEBI:3094	Q27105940
CHEBI:3095	Q142880
CHEBI:3096	Q27105942
CHEBI:3097	Q27105943
CHEBI:3098	Q59191092
CHEBI:3103	Q418459
CHEBI:3104	Q4913564
CHEBI:3110	Q27105944
CHEBI:3112	Q414914
CHEBI:3115	Q27105945
CHEBI:3121	Q27105946
CHEBI:3122	Q27096640
CHEBI:3125	Q417874
CHEBI:3127	Q412515
CHEBI:3128	Q27105947
CHEBI:3129	Q27105948
CHEBI:3131	Q4918862
CHEBI:3133	Q4918914
CHEBI:3134	Q27105949
CHEBI:3136	Q27265004
CHEBI:3136	Q424572
CHEBI:3138	Q27105950
